"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"traffic-simulation.nlogox"
"StressTest_Semaforo_Pare"
"09/09/2026 20:10:46:584 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","method","slowness","red-spawn","blue-spawn","[step]","fluxo-vermelhos","fluxo-azuis","tempo-total-vermelhos","tempo-total-azuis"
"1","stop sign","15","10","10","5000","461","468","628","3930"
"14","stop sign","15","10","10.5","5000","507","514","709","10893"
"16","stop sign","15","10","10.5","5000","482","477","853","5827"
"15","stop sign","15","10","10.5","5000","472","497","694","6917"
"3","stop sign","15","10","10","5000","464","488","636","7725"
"7","stop sign","15","10","10","5000","511","465","676","7878"
"5","stop sign","15","10","10","5000","433","475","543","3888"
"6","stop sign","15","10","10","5000","512","484","744","5643"
"17","stop sign","15","10","10.5","5000","456","493","623","6082"
"8","stop sign","15","10","10","5000","478","492","694","7011"
"13","stop sign","15","10","10.5","5000","492","510","628","7553"
"2","stop sign","15","10","10","5000","462","443","622","4612"
"9","stop sign","15","10","10","5000","476","475","615","5771"
"12","stop sign","15","10","10.5","5000","455","493","590","5165"
"11","stop sign","15","10","10.5","5000","456","539","677","9095"
"10","stop sign","15","10","10","5000","475","465","604","5453"
"4","stop sign","15","10","10","5000","442","494","578","5403"
"18","stop sign","15","10","10.5","5000","442","559","576","6591"
"19","stop sign","15","10","10.5","5000","485","495","690","9049"
"20","stop sign","15","10","10.5","5000","476","484","692","7454"
"25","stop sign","15","10","11","5000","496","511","717","10580"
"21","stop sign","15","10","11","5000","459","524","652","6679"
"23","stop sign","15","10","11","5000","471","528","662","7111"
"22","stop sign","15","10","11","5000","478","566","601","11612"
"24","stop sign","15","10","11","5000","486","507","671","9349"
"29","stop sign","15","10","11","5000","504","543","667","9243"
"32","stop sign","15","10","11.5","5000","471","551","691","10600"
"26","stop sign","15","10","11","5000","487","498","755","4923"
"34","stop sign","15","10","11.5","5000","471","544","684","10289"
"36","stop sign","15","10","11.5","5000","485","501","610","8027"
"37","stop sign","15","10","11.5","5000","497","552","794","6514"
"35","stop sign","15","10","11.5","5000","509","526","742","9395"
"39","stop sign","15","10","11.5","5000","495","543","613","10916"
"40","stop sign","15","10","11.5","5000","478","562","668","9001"
"28","stop sign","15","10","11","5000","490","532","716","7677"
"27","stop sign","15","10","11","5000","496","551","821","9591"
"41","stop sign","15","10","12","5000","515","556","835","9517"
"30","stop sign","15","10","11","5000","512","506","813","9342"
"31","stop sign","15","10","11.5","5000","523","529","733","7714"
"45","stop sign","15","10","12","5000","477","567","645","9743"
"42","stop sign","15","10","12","5000","508","555","804","12571"
"43","stop sign","15","10","12","5000","495","583","704","12429"
"46","stop sign","15","10","12","5000","456","553","675","6689"
"44","stop sign","15","10","12","5000","521","534","774","16395"
"38","stop sign","15","10","11.5","5000","474","497","655","7770"
"47","stop sign","15","10","12","5000","430","556","645","7723"
"48","stop sign","15","10","12","5000","476","562","694","11039"
"33","stop sign","15","10","11.5","5000","472","542","619","9471"
"49","stop sign","15","10","12","5000","497","571","805","10887"
"50","stop sign","15","10","12","5000","489","575","748","11539"
"53","stop sign","15","10","12.5","5000","483","557","755","9588"
"56","stop sign","15","10","12.5","5000","452","587","533","10054"
"62","stop sign","15","10","13","5000","471","602","594","12297"
"63","stop sign","15","10","13","5000","497","595","699","11075"
"61","stop sign","15","10","13","5000","473","609","624","14008"
"59","stop sign","15","10","12.5","5000","480","593","682","11587"
"57","stop sign","15","10","12.5","5000","504","599","689","12656"
"58","stop sign","15","10","12.5","5000","482","612","690","10165"
"60","stop sign","15","10","12.5","5000","472","616","630","10451"
"66","stop sign","15","10","13","5000","489","584","739","9704"
"67","stop sign","15","10","13","5000","491","647","734","14537"
"68","stop sign","15","10","13","5000","507","605","706","11338"
"65","stop sign","15","10","13","5000","489","563","567","9192"
"69","stop sign","15","10","13","5000","485","652","666","15725"
"70","stop sign","15","10","13","5000","474","587","619","9923"
"71","stop sign","15","10","13.5","5000","486","608","733","16516"
"72","stop sign","15","10","13.5","5000","499","594","789","17126"
