"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"traffic-simulation.nlogox"
"StressTest_Semaforo_Pare"
"09/10/2026 15:38:47:314 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","method","red-spawn","blue-spawn","has-seed","seed","[step]","fluxo-vermelhos","fluxo-azuis","tempo-total-vermelhos","tempo-total-azuis"
"12","red light","6","1","true","1","5000","314","55","5114.0369310129745","788.2959775516038"
"3","stop sign","2","1","true","1","5000","85","47","77.00601282537221","75.05408112403853"
"1","stop sign","1","1","true","1","5000","55","50","43.83219114519522","62.95995909621482"
"7","stop sign","4","1","true","1","5000","197","39","199.59590686869993","86.60995527659334"
"4","red light","2","1","true","1","5000","103","57","1656.5665515728688","853.7263818187307"
"15","stop sign","8","1","true","1","5000","381","53","486.5406679373643","241.85769529862685"
"2","red light","1","1","true","1","5000","60","48","847.8146696667344","805.1427872533817"
"13","stop sign","7","1","true","1","5000","363","53","513.0779399778835","205.69037734050357"
"14","red light","7","1","true","1","5000","371","53","6260.984321975416","491.12469764263744"
"8","red light","4","1","true","1","5000","209","55","3487.592901864973","635.2746438919825"
"6","red light","3","1","true","1","5000","143","43","1971.92243659682","577.4501827541459"
"5","stop sign","3","1","true","1","5000","147","54","126.03904270900836","77.12418986018653"
"17","stop sign","9","1","true","1","5000","446","56","654.7390929461154","184.31111058674398"
"9","stop sign","5","1","true","1","5000","216","41","267.6022312845942","55.58032078520543"
"11","stop sign","6","1","true","1","5000","306","49","407.6252186843867","112.57842868928265"
"10","red light","5","1","true","1","5000","242","52","3988.707299691149","779.6068334074672"
"21","stop sign","11","1","true","1","5000","529","47","889.6112562412417","219.0216397780598"
"18","red light","9","1","true","1","5000","443","55","8940.753941775283","855.299867087726"
"19","stop sign","10","1","true","1","5000","496","51","799.3378656467873","199.6289225162344"
"23","stop sign","12","1","true","1","5000","549","52","1005.1639762931778","215.15234130393063"
"16","red light","8","1","true","1","5000","408","58","8245.299721181913","771.5046675547749"
"24","red light","12","1","true","1","5000","560","42","12477.686218400006","533.0862930276281"
"20","red light","10","1","true","1","5000","494","54","10580.098897469448","801.7041718160157"
"22","red light","11","1","true","1","5000","528","56","11076.583984284243","857.7780599891421"
"29","stop sign","15","1","true","1","5000","712","53","1687.4620522680907","747.9074084846987"
"25","stop sign","13","1","true","1","5000","641","45","1455.8583685305723","238.7045525835179"
"26","red light","13","1","true","1","5000","647","62","16404.855644208765","1070.123622333062"
"28","red light","14","1","true","1","5000","641","53","15015.334583250584","851.6400439571385"
"38","red light","19","1","true","1","5000","775","48","24144.436314399485","685.424088111326"
"30","red light","15","1","true","1","5000","693","56","18539.058842831815","868.1738405969891"
"31","stop sign","16","1","true","1","5000","728","52","1791.3367454114255","541.1350977941242"
"27","stop sign","14","1","true","1","5000","657","62","1307.710861449854","621.5484513910076"
"35","stop sign","18","1","true","1","5000","846","50","2274.274479172641","571.246725577337"
"32","red light","16","1","true","1","5000","740","62","21780.36825733303","1061.690548334409"
"36","red light","18","1","true","1","5000","796","50","24978.171122396063","686.6960137464013"
"37","stop sign","19","1","true","1","5000","854","39","2245.0190993182687","361.8205173746386"
"33","stop sign","17","1","true","1","5000","787","52","1866.6066298858248","440.703904563309"
"34","red light","17","1","true","1","5000","764","38","23242.94180395966","765.4640868895558"
"45","stop sign","23","1","true","1","5000","1068","57","4357.508698463203","1194.714271009626"
"41","stop sign","21","1","true","1","5000","959","56","2894.032759376499","1107.2847195829697"
"39","stop sign","20","1","true","1","5000","877","58","2144.6972129462088","1309.0294270440504"
"51","stop sign","26","1","true","1","5000","1090","41","3887.9367480214","814.8069279289762"
"47","stop sign","24","1","true","1","5000","1064","51","3399.5724711853222","637.2727965103759"
"43","stop sign","22","1","true","1","5000","969","40","2920.938202323341","876.2378585992142"
"40","red light","20","1","true","1","5000","825","48","27513.613226241832","860.6311759164636"
"49","stop sign","25","1","true","1","5000","1069","56","3920.1569102486433","1407.441029530784"
"46","red light","23","1","true","1","5000","873","49","34321.00609342772","725.58713857634"
"42","red light","21","1","true","1","5000","847","50","32064.356621820396","738.4246464579285"
"50","red light","25","1","true","1","5000","850","59","34366.400310913144","1050.0501316751772"
"55","stop sign","28","1","true","1","5000","1223","47","5022.718772044299","1620.186638352956"
"44","red light","22","1","true","1","5000","844","48","32496.468134257935","818.5604557192096"
"48","red light","24","1","true","1","5000","860","60","33837.12303550887","937.484568923553"
"53","stop sign","27","1","true","1","5000","1160","45","5228.679926368732","1922.8290123628626"
"52","red light","26","1","true","1","5000","861","41","37969.09320709281","588.7662160432569"
"56","red light","28","1","true","1","5000","866","50","39030.3455574336","927.2922548335877"
"57","stop sign","29","1","true","1","5000","1236","45","5419.320815493876","2691.318222243689"
"58","red light","29","1","true","1","5000","874","58","37678.13314821809","649.2455450209079"
"54","red light","27","1","true","1","5000","854","44","38638.48183746808","658.6421181894708"
"60","red light","30","1","true","1","5000","865","47","40786.85182255818","580.4126173058379"
"62","red light","31","1","true","1","5000","854","40","41725.52649711364","713.4693525088721"
"61","stop sign","31","1","true","1","5000","1269","45","6062.413434447044","2465.446027385053"
"71","stop sign","1","2","true","1","5000","42","97","25.638639395875135","92.56531365059314"
"64","red light","32","1","true","1","5000","855","36","42338.12452267687","430.28274678841296"
"72","red light","1","2","true","1","5000","50","105","497.2432138888496","1516.689677062486"
"67","stop sign","34","1","true","1","5000","1368","59","7554.78068470476","7196.05619883654"
"73","stop sign","2","2","true","1","5000","86","107","97.43908448004512","177.7756270910062"
